Compound,ICSD,Space_group,E_g^i,E_g^df,E_g^da,E_g,Dielectric_constant,SLME
CuInS2,656271,122,–,2.44,1.54,1,6,23.1
CuInTe2,658015,122,–,1.65,1.03,1,8.57,28
CuInSe2,53294,216,–,2.28,0.95,1,6.87,27.9
AgInTe2,52585,216,–,1.88,1.17,1,7.53,27.6
AgInSe2,605455,216,–,2.52,1.18,1,6.41,27
CuGaSe2,627528,122,–,2.52,1.65,1,6.25,26.6
AgInTe2,605485,122,–,2.37,1.23,1,7.6,26.4
AgIn5Te8,151871,111,–,1.32,1.25,1,8.18,26.3
CuGaTe2,656165,122,–,1.52,1.47,1,8.3,24.8
AgGaSe2,52571,216,–,2.18,1.3,1,6.4,24.7
AgGaTe2,52572,216,–,1.8,1.13,1,7.91,24.6
Cu7TlS4,93134,87,–,1.19,0.97,1,7.63,22.8
Cu7TlS4,65272,82,–,1.43,1.17,1,7.49,22.6
CuInSe2,602951,122,–,2.07,1.33,1,5.77,22.1
AgGaTe2,605236,122,–,2.27,1.54,1,7.67,21.8
Cu7TlS4,79444,82,–,1.33,1.08,1,7.55,21.2
CuBSe2,613591,122,–,2.42,1.74,1,6.75,20.6
AgInS2,656317,122,–,2.8,1.74,1,5.08,19.7
AgInS2,52578,33,–,2.68,1.96,1,4.96,17.1
CuGaS2,657346,122,–,2.83,1.99,1,5.43,16.5
AgGaSe2,657565,122,–,2.97,1.8,1,6.04,15.8
CuInTe2,657055,216,0.89,1.27,0.91,3,8.3,26.2
Cu3TlS2,23290,12,1.07,1.21,1.21,3,7.76,26.1
Cs3AlTe3,300181,14,1.52,1.75,1.59,3,4.58,24.3
AgIn5Se8,35597,111,1.48,2.35,1.52,3,6.11,22.2
AgTlTe,52609,62,0.94,1.46,1.18,3,12.17,22
Cu7TlS4,81777,85,1.5,1.76,1.64,3,6.74,21.6
Cu3TlSe2,68524,12,0.79,1.07,1.03,3,9.25,21.4
CuGaTe2,627547,216,0.59,1.1,0.65,3,9.75,17.5
